category	subCategory	name	scientificName	latinName	tradeMarkName	ingredientProductTypes	amount	potency	cost	suggestedOverage	gummyOverage	primary	secondary	tertiary	manufacturingCountry	originCountry	shelfLife	bulkDensity	tappedDensity	avergageParticleSize	lossOnDrying	arsenic	cadmium	lead	mercury	celery	custaceans	egg	fish	gluten	lupin	milk	molluscs	mustard	peanut	sesameSeeds	shellfish	soy	sulphites	treeNuts	wheat	vegan	non_gmo	kosher	gluten_Free	organic	moisture	calories	protein	carbohydrates	dietaryFiber	totalSugars	addedSugar	totalFat	saturatedFat	monounsaturatedFat	polyunsaturatedFat	transFat	cholesterol	sodium	vitaminA	vitaminC	vitaminD	vitaminE	vitamink	vitaminK2	thiamin	riboflavin	niacin	vitaminB6	folicAcid	vitaminB12	biotin	pantothenicAcid	choline	calcium	iron	phosphorus	iodine	magnesium	zinc	selenium	copper	manganese	chromium	molybdenum	chloride	potassium	boron
Herbs	Brain Health	Mucuna Pruriens Extract 10% Organic	Mucuna Pruriens	Organic Mucuna Pruriens Extract		C,T,P,G	1	0.1	45	0.98	0.95					India	48	0.3	0.4	40	5	<=2	<=1	<=3	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		Y	Y																																													
Herbs	Brain Health	Mucuna Pruriens Extract 20% L-Dopa	Mucuna Pruriens	Mucuna Pruriens Extract (Standardized to 20% L-Dopa)		C,T,P,G	1	0.2	13.5	0.98	0.95					India	36	0.3	0.3	40	8	<=2	<=0.3	<=2	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Brain Health	Mucuna Pruriens Extract Levodopa 15% Powder	Mucuna Pruriens	Mucuna Pruriens Extract (Standardized to 15% L-Dopa)		C,T,P,G	1	0.15	22.5	0.98	0.95					China	60			80	5	<=2	<=0.5	<=2	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Brain Health	Mucuna Pruriens Extract Levodopa 98% Powder	Mucuna Pruriens	Mucuna Pruriens Extract (Standardized to 98% L-Dopa)		C,T,P,G	1	0.98	98.5	0.98	0.95					China	60			80	2	<=2	<=0.5	<=2	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Brain Health	Mucuna Pruriens Powder Steam Treated	Mucuna Pruriens	Mucuna Pruriens		C,T,P,G	1	1	4.7	1	1					India	36	0.4	0.5	40	10	<=2	<=2	<=2	<=2		F	F	F			F			F		F	F		F	F	Y	Y	Y																																													
Herbs	Brain Health	Mucuna Pruriens Powder Steam Treated (Organic)	Mucuna Pruriens	Organic Mucuna Pruriens		C,T,P,G	1	1	5.6	1	1					India	36			40	10	<=2	<=2	<=2	<=2		F	F	F			F			F		F	F		F	F	Y	Y	Y																																													
Herbs	Vitality	Mulberry Juice Powder	Morus Alba L.	Mulberry Leaf Extract (Morus alba)		C,T,P,G	1	1	10.8	1	1					China	36			80	5	<=2	<=1	<=2	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	Vitality	Mulberry Leaf Extract 1%	Morus Alba L.	Mulberry Leaf Extract (Morus alba)		C,T,P,G	1	0.01	30	0.98	0.95					China	36			80	5	<=2	<=1	<=2	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	Vitality	Mulberry Leaf Extract 5:1	Morus Alba L.	Mulberry Leaf Extract (Morus alba)		C,T,P,G	1	1	10.6	0.98	0.95					China	24			80	5	<=2	<=1	<=3	<=0.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Vitality	Mulberry Powder	Fructus Mori	Mulberry Leaf Extract (Morus alba)		C,T,P,G	1	1	10.2	1	1					China	24			80	5	<=2	<=1	<=3	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	Immune Health	Mullein Leaf Extract 10:1	Verbascum Thapsus	Mullein Leaf Extract 10:1 (Verbascum thapsus)		C,T,P,G	1	1	10	0.98	0.95					China	36	0.5		80	5	<=2	<=1	<=2	<=0.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Specialty	Digestive Health	Nattokinase 20,000 FU/g	Glycine Max	Nattokinase (Fermented Soy Extract Std. to Fibrin Units)		C,T,P,G	1	1	250	0.9	0.9					China	24			80	8	<=2		<=0.5	<=2		F	F	F			F			F	F		T		F	F																																																
Herbs	Immune Health	Neem Leaves Powder Steam Treated (Organic)	Azadirachta Indica	Organic Neem Leaf (Azadirachta indica)		C,T,P,G	1	1	5.8	1	1					India	36			40	10	<=2	<=2	<=2	<=2		F	F	F			F			F		F	F		F	F	Y	Y	Y																																													
Herbs	Anti-Inflammatory	Nettle Leaves Powder Steam Treated	Urtica Dioica	Nettle (Urtica spp.) (leaf)		C,T,P,G	1	1	7.6	1	1					India	36			40	12	<=2	<=2	<=2	<=2		F	F	F	F		F			F		F	F		F	F	Y	Y																																														
Herbs	Vitality	Nigella Sativa Powder Steam Treated (Organic)	Nigella Sativa	Organic Nigella Sativa Powder		C,T,P,G	1	1	8.4	1	1					India	36			20	10	<=2	<=2	<=2	<=2		F	F	F			F			F		F	F		F	F	Y	Y	Y																																													
Herbs	Vitality	Noni Powder Steam Treated	Morinda Citrifolia	Noni Fruit Extract Powder		C,T,P,G	1	1	4.9	1	1					India	36			40	10	<=2	<=2	<=2	<=2		F	F	F			F			F		F	F		F	F	Y	Y	Y																																													
Herbs	Heart Health	Olive Leaf Extract Oleuropein 10% Powder	Olea Europaea L.	Olive Leaf Extract (olea europaea) (standardized to at least 10% Oleuropein)		C,T,P,G	1	0.2	12.5	0.98	0.95					China	60	0.4	0.6	80	5	<=2	<=0.5	<=2	<=0.05	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Heart Health	Olive Leaf Extract Oleuropein 40% Powder	Olea Europaea L.	Olive Leaf Extract (olea europaea) (standardized to at least 40% Oleuropein)		C,T,P,G	1	0.4	27.5	0.98	0.95					China	60	0.4	0.6	80	5	<=2	<=0.5	<=2	<=0.05	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Vegetables	Antioxidant	Onion Extract 10:1	Allium Cepa L.	Onion (Allium cepa)		C,T,P	1	1	11	0.98						China	36			80	5	<=2	<=2	<=2	<=1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	Energy	Panax Ginseng Extract Powder 4:1, 5% Ginsenosides HPLC	Panax Ginseng	Panax Ginseng Extract 5% Ginsenosides		C,T,P,G	1	0.05	40	0.98	0.95					China	36			100	5	<=2	<=1	<=2	<=0.1		F	F	F	F		F	F		F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Energy	Panax Ginseng P.E. 80% Ginsenosides	Panax Ginseng	Panax Ginseng P.E. 80% Ginsenosides		C,T,P,G	1	0.8	85	0.98	0.95					China	36		25-65	80	5	<=2	<=1	<=2	<=0.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Energy	Panax Ginseng Powder	Panax Ginseng	Panax Ginseng (whole herb powder)		C,T,P,G	1	1	17.8	1	0.95					China	36	0.4		80	7	<=2	<=1	<=2	<=0.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Fruits	General Health	Papaya Powder	Carica Papaya	Papaya Powder (Carica papaya) (fruit)		C,T,P,G	1	1	9	1	1					China	36			80	10	<=2	<=1	<=5	<=0.2	F	F	F	F	F		F		F	F	F	F	F	F	F	F																																																
Vitamins	General Health	Pyridoxal-5-Phosphate (P5P)	Pyridoxal-5-Phosphate	P5P Pyridoxal 5 Phosphate		C,T,P,G	1	0.98	400	0.95	0.9	Kyowa			Japan	Japan	36				≤0.5	<=2				F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		Y		Y																																												
Herbs	General Health	Rosemary Extract 4:1 (Organic)	Rosemarinus officinalis	Organic Rosemary Extract		C,T,P,G	1	1	35	0.98	0.95					China	36			80		<=2	<=1	<=2	<0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	Adaptogen	Schisandra Chinesis Powder (Organic)	Schisandra chinensis	Schisandra Berry Extract (from Schisandra chinensis)		C,T,P,G	1	1	11.7	1	1					China	36			60		<=2	<=1	<=3	<0.1		F	F	F	F		F			F	F	F	F	F	F		Y	Y	Y																																													
Herbs	Women's Health	Shatavari Root Powder Steam Treated (Organic)	Asparagus racemosus	Organic Shatavari Root Extract (Asparagus racemosus)		C,T,P,G	1	1	11	1	1					India	36			40	10	<=2	<=2	<=2	<=2		F	F	F			F			F		F	F		F	F	Y	Y	Y																																													
Mushrooms	Anti-Inflammatory	Shiitake Mushroom Extract 50% Polysaccharides (Organic)	Lentinus edodes	Organic Shiitake Mushroom (Lentinus edodes) (50% Polysaccharides)		C,T,P,G	1	0.5	13	0.98	0.95					China	36	0.5		80	5	<=2	<=1	<=2	<=0.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Fruits	Vitality	Tart Cherry Extract 10:1 (Organic)	Prunus Cerasus	Organic Tart Cherry 10:1 Extract (fruit)		C,T,P,G	1	1	27.77	0.98	0.95					China	36			80		<=2	<=1	<=2	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Antioxidant	Triphala Powder Steam Treated (Organic)	Emblica officinalis	Organic Triphala (Amla + Bibhitak + Haritaki) (fruits)		C,T,P,G	1	1	7.8	1	1					India	36			40	10	<=2	<=2	<=2	<=2		F	F	F			F			F		F	F		F	F	Y	Y	Y																																													
Herbs	Anti-Inflammatory	Turmeric Powder (Organic)	Curcuma longa L.	Organic Turmeric (Curcuma longa) (root)		C,T,P,G	1	1	4.55	1	1					India	24			60	10	<=2	<=1	<=3	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Anti-Inflammatory	Turmeric Powder Steam Treated (Organic)	Curcuma longa L.	Organic Turmeric (Curcuma longa) (root)		C,T,P,G	1	1	4.6	1	1					India	36	0.4	0.5	40	10	<=2	<=2	<=2	<=2		F	F	F			F			F		F	F		F	F	Y	Y	Y																																													
Herbs	Anti-Inflammatory	Turmeric Root Powder Pb2.0 (Organic)	Curcuma longa L.	Organic Turmeric (Curcuma longa) (root)		C,T,P,G	1	1	3.9	1	1					China	60			80	10	<=2	<=1	<=2	<=0.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Vitamins	General Health	Vitamin E (Mixed Tocopherols) 50%	Mixed Tocopherols	Vitamin E (as mixed Tocopherols)		C,T,P,G	1	0.5	64.3	0.9	0.9					China	24					<=2	<=1	<=2	<=1																	Y	Y	Y																																													
Vitamins	Bone Health	Vitamin K2 MK-7 0.45% Natural All-Trans	Menaquinone-7	Vitamin K2 (as Menaquinone-7) (MK-7)		C,T,P,G	1	0.005	450	0.9						China	24					<=2	<=1	<=3	<=0.1	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	Anti-Inflammatory	Fennel Powder Steam Treated	Foeniculum Vulgare	Fennel (seed)		C,T,P,G	1	1	8.5	1	1					India	36			30	10	<=2	<=2	<=2	<=2		F	F	F			F			F	F	F	F		F	F	Y	Y	Y																																													
Herbs	Anti-Inflammatory	Fennel Seed Extract 10:1	Foeniculum Vulgare	Fennel (seed)		C,T,P,G	1	1	10	0.98	0.95					China	36	0.4		80	5	<=2	<=1	<=2	<=0.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Anti-Inflammatory	Fennel Seed Powder	Foeniculum Vulgare	Fennel (seed)		C,T,P,G	1	1	7.2	1	1					China	36	0.4		80	7	<=2	<=1	<=2	<=0.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	General Health	Feverfew Extract 10:1	Tanacetum Parthenium	Feverfew Extract 12:1		C,T,P,G	1	1	12.5	0.98	0.95					China	36	0.5		80	5	<=2	<=1	<=2	<=0.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Heart Health	Flaxseed Extract 20% SDG	Linum Usitatissimum	Flax Seed Extract		C,T,P,G	1	0.2	65	0.98	0.95					China	36			80	5	<=2	<=1	<=1	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	Anti-Inflammatory	Forsythia Extract (0.5% Forsythoside)	Forsythia suspensa	Forsythia Extract (Forsythia suspensa) (0.5% Forsythoside)		C,T,P,G	1	0.005	18	0.98	0.95					China	36				5	<=2	<=0.3	<=2	<=0.2			F	F			F			F		F	F		F	F		Y																																														
Specialty	Immune Health	Fucoidan Extract Powder 85%	Laminaria Japonica	Fucoidan Extract (Laminaria spp.) (algae) (whole plant) (standardized to 88% total polysaccharides)		C,T,P,G	1	0.85	83.4	0.98	0.95					China	36	0.5	0.6	80	5	<=2	<=3	<=3	<=0.1		F	F	F	F		F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Specialty	Heart Health	Gamma Oryzanol	Gamma Oryzanol	Gamma Oryzanol		C,T,P,G	100	0.97	60	0.98	0.95					China	24				0.5	<=2				F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y			0.8	880	0	0	0	0		99	0	0	0		0		0		0	0					0																			0	
Herbs	Immune Health	Holy Basil Extract 10:1	Ocimum Tenuiflorum	Holy Basil Extract (leaf)		C,T,P,G	1	1	9.5	0.98	0.95					China	36	0.5		80	5	<=2	<=1	<=2	<=0.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	Immune Health	Holy Basil Powder	Ocimum Tenuiflorum	Holy Basil Extract (leaf)		C,T,P,G	1	1	7	1	1					China	36	0.4		80	7	<=2	<=1	<=2	<=0.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	General Health	Honeysuckle 5% Chlorogenic Acid	Lonicera Japonica	Lonicera Japonica extract (std. to 5% chlorogenic acid)		C,T,P,G	1	0.05	22	0.95	0.95					China	36				5	<=2	<=0.3	<=3	<=0.2	F	F	F	F	F	F	F	F	F	F	F	F	F																																																			
Herbs	Stress	Hops Extract 0.1%-8-prenylnaringenin	Humulus Lupulus L.	Humulus Lupulus L. extract (Std. to 0.1-8% prenylnaringenin)		C,T,P,G	1	0.001	10	0.95	0.95					China	24			80	5	<=2		<=1		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	Stress	Hops Extract 10% Xanthohumol	Humulus Lupulus L.	Humulus Lupulus L. extract (Std. to 10% xanthohumol)		C,T,P,G	1	0.1	630	0.95	0.95					China	24			80	5	<=2	<=1	<=3	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Fruits	Antioxidant	Strawberry Fruit Freeze Dried Powder	Fragaria ananassa	Strawberry (Fragaria ananassa) Fruit, Freeze Dried Powder		C,T,P,G	1	1	19	1	1					China	24			60	8	<=2	<=2	<=2	<=2	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Minerals	Immune Health	Zinc Lactate Powder	Zinc Lactate	Zinc (as Zinc Lactate)		C,T,P,G	1	0.22	10.9	0.98	0.95					China	24				14	<=2	<=2	<=3		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Minerals	General Health	Magnesium Bisglycinate (Mg 11.7%) Chelamax®	Magnesium Bisglycinate	Chelamax® Magnesium Bisglycinate	Chelamax® Magnesium Bisglycinate	C,T,P,G	1	0.12	19.5	0.98	0.95	Innophos				United States	48					<=2.78	<=1	<=0.3	<=1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y	Y																																												
Mushrooms	Immune Health	Black Hoof Mushroom (Organic)	Phellinus Linteus	Organic Black Hoof Mushroom (Phellinus linteus)		C,T,P,G	100	1	51	1	1					United States	60	0.5	0.7	60	7	<=3	<=1	<=1	<=0.1		F	F	F	F		F			F	F	F	F	F	F		Y	Y					370	7	82	15	8	0	1.5	0			0	0	0			0													1121	3											366	
Minerals	General Health	Boron Citrate (B 5%)	Boron Citrate	Boron Citrate		C,T,P,G	1	0.05	18.75	0.98	0.95	Innophos				United States	48				≤10	<=3	<=1	<=1	<=1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y	Y																																												
Minerals	Bone Health	Calcium Citrate (Ca 21.1%) Chelamax®	Calcium Citrate	Chelamax® Calcium Citrate	Chelamax® Calcium Citrate	C,T,P,G	1	0.21	13.75	0.98	0.95	Innophos				United States	48					<=3	<=5	<=10	<=1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y	Y																																												
Herbs	Sports Nutrition	CherryPURE® Tart Cherry Powder (2% Proanthocyanidins)	Prunus cerasus	CherryPURE® Tart Cherry Powder (2% Proanthocyanidins) Prunus cerasus	CherryPURE®	C,T,P,G	1	1	85	0.98	0.98	Anderson Advanced Ingredients				United States	36					<=3	<=3	<=3	<=3																	Y	Y	Y	Y																																												
Specialty	Joint Health	Glucosamine HCI	Glucosamine HCI	Glucosamine HCI		C,T,P,G	1	0.98	6.8	1	1					China	36	0.7	1	80	1	<=3	<=1	<=3	<=0.1	F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	N	Y																																														
Specialty	Joint Health	Glucosamine Sulfate	Glucosamine Sulfate	Glucosamine Sulfate		C,T,P,G	1	0.98	7	1	1					China	24	0.5		80	0.5	<=3				F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	N	Y				1																																										
Herbs	Energy	Green Coffee Bean P.E. 45% Robusta Chlorogenic Acid	Coffee Arabica	Green Coffee Bean Extract (45% Robusta Chlorogenic Acid)		C,T,P,G	1	0.45	25	0.98	0.95					India	36	0.5		40	5	<=3	<=1	<=3	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Energy	Green Coffee Bean P.E. 50% Robusta Chlorogenic Acid	Coffee Arabica	Green Coffee Bean Extract (50% Robusta Chlorogenic Acid)		C,T,P,G	1	0.5	24.5	0.98	0.95					India	36	0.5		40	5	<=3	<=1	<=3	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Energy	Green Coffee Bean P.E. Arabica 45% Chlorogenic Acid	Coffee Arabica	Green Coffee Bean Extract (Arabica 45% Robusta Chlorogenic Acid)		C,T,P,G	1	0.45	25	0.98	0.95					India	36	0.5		40	5	<=3	<=1	<=3	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Energy	Green Coffee Bean P.E. Arabica 50% Chlorogenic Acid	Coffee Arabica	Green Coffee Bean Extract (Arabica 50% Robusta Chlorogenic Acid)		C,T,P,G	1	0.5	28	0.98	0.95					India	36	0.5		40	5	<=3	<=1	<=3	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Digestive Health	Konjac Extract Glucomannan 90%	Amorphophallus Konjac	Glucomannan (from Konjac Root) (Amorphophallus konjac)		C,T,P,G	1	0.9	21	0.98	0.95					China	24	0.7			10	<=3		<=0.8		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Digestive Health	Konjac Extract Glucomannan 95%	Amorphophallus Konjac	Glucomannan (from Konjac Root) (Amorphophallus konjac)		C,T,P,G	1	0.95	21.3	0.98	0.95					China	24	0.7			10	<=3		<=0.8		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	Digestive Health	Konjac Gum (Glucomannan 90%) Powder Application	Amorphophallus Konjac	Glucomannan (from Konjac Root) (Amorphophallus konjac)		C,T,P,G	100	0.9	17.95	0.98	0.95					China	24			120	10	<=3	<=2	<=0.8	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F			Y			7.8	183	1.5	2.5	87			0						7																													
Herbs	Digestive Health	Konjac Gum (Glucomannan 95%) Powder Application	Amorphophallus Konjac	Glucomannan (from Konjac Root) (Amorphophallus konjac)		C,T,P,G	100	0.95	19.29	0.98	0.95					China	24			120	10	<=3	<=2	<=0.8	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F			Y			7.8	183	1.5	2.5	87			0						7																													
Minerals	Brain Health	Lithium Orotate (Li 3.86%)	Lithium Orotate	Lithium (from Lithium orotate)		C,T,P,G	1	0.039	120.05	0.98	0.95					United States	48				10	<=3	<=5	<=10	<=1																																																																
Minerals	General Health	Magnesium Aspartate Complex (Mg 20%)	Magnesium Aspartate	Magnesium Aspartate Complex		C,T,P,G	1	0.2	14.85	0.98	0.95	Innophos				United States	48					<=3	<=5	<=10	<=1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y	Y																																												
Minerals	Bone Health	Magnesium Caprylate (Mg 7.01%) KSH	Magnesium Caprylate	Magnesium Caprylate		C,T,P,G	1	0.07	26.2	0.98	0.95					United States	48					<=3	<=5	<=10	<=1																			Y																																													
Minerals	Bone Health	Magnesium Citrate Anhydrous (Mg 14.5%-16.4%)	Magnesium Citrate	Magnesium (as Magnesium Citrate)		C,T,P,G	1	0.145	6.3	0.98	0.95					China	24				2	<=3		<=1		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Minerals	Bone Health	Magnesium Citrate Nonahydrate	Magnesium Citrate	Magnesium (as Magnesium Citrate)		C,T,P,G	1	0.16	10	0.98	0.95					India	60				29	<=3				F		F	F	F		F	F		F	F	F	F	F	F	F	Y	Y	Y																																													
Minerals	Bone Health	Magnesium Citrate Powder	Magnesium Citrate	Magnesium (as Magnesium Citrate)		C,T,P,G	1	0.16	9	0.98	0.95					India	24				29	<=3						F	F			F			F		F	F	F	F	F		Y																																														
Minerals	General Health	Magnesium Glycerophosphate (Mg 10.5%)	Magnesium Glycerophosphate	Magnesium Glycerophosphate		C,T,P,G	1	0.11	19.7	0.98	0.95	Innophos				United States	48					<=3	<=5	<=10	<=1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y	Y																																												
Minerals	Bone Health	Magnesium Lactate Powder	Magnesium Lactate	Magnesium (from magnesium lactate)		C,T,P,G	1	0.12	8	0.98	0.95					China	24	0.8				<=3	<=1	<=2	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		Y	Y																																													
Excipients	Binding Agent	Microcrystalline Cellulose HD90M (High Density MCC)	Microcrystalline Cellulose	Microcrystalline Cellulose		C,T	1	1	5.44	1						India	60				8	<=3	<=1	<=2	<=1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		Y	Y																																													
Herbs	Liver Health	Milk Thistle Seed Powder (Organic)	Silybum Marianum	Milk Thistle Seed (Certified Organic)		C,T,P,G	1	1	9.21	1	1					China	36		0.41-0.72	30	10	<=3	<=3	<=1.18	<=3	T		F	F		F	F		T	F	T	F	F	F	T	T	Y	Y	Y																																													
Sweeteners	Natural Sweeteners	Monk Fruit Extract Powder	Siraitia Grosvenorii	Monk Fruit (Siraitia grosvenorii )Extract		P,G	1	1	24	1	1					China	60			80	5	<=3	<=3	<=3	<=3	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Excipients	Preservative	Mono-Na Citrate Powder	MonoNa Citrate	Monosodium Citrate		P	1	0.99	5.7	1						India	60					<=3						F	F			F		F			F	F	F	F	F																																																
Specialty	Joint Health	MSM 20-40 Mesh	Methyl Sulfonyl Methane	MSM (Methylsulfonylmethane)		C,T,P,G	1	0.98	6.7	1	1					China	24					<=3	<=1	<=1	<=1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Specialty	Joint Health	MSM 40-80 Mesh	Methyl Sulfonyl Methane	MSM (Methylsulfonylmethane)		C,T,P,G	1	0.98	6.7	1	1					China	24					<=3	<=1	<=1	<=1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Herbs	General Health	Rosemary Oleoresin Carnosic Acid 10%	Rosemarinus officinalis	Rosemary (Rosemarinus oficinalis) Oleoresin, (Std. to Carnosic Acid 10%)		C,T,P,G	1	0.1	26.25	0.98	0.95					China	12				2	<=3	<=1	<=2	<=1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	General Health	Rosemary Oleoresin Carnosic Acid 5%	Rosemarinus officinalis	Rosemary (Rosemarinus officinalis) Oleoresin (Std. to Carnosic Acid 5%)		C,T,P,G	1	0.05	20	0.98	0.95					China	12				2	<=3	<=1	<=2	<=1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Mushrooms	Immune Health	Tiger Milk Mushroom (Organic)	Lignosus rhinocerotis	Organic Tiger Milk Mushroom		C,T,P,G	1	1	51	1	1					United States	60	0.5	0.7	60		<=3	<=1	<=1	<=0.1		F	F	F	F		F			F	F	F	F	F	F			Y																																														
Mushrooms	Immune Health	Turkey Tail (Organic)	Tramates versicolor	Organic Turkey Tail Mushroom Extract (Tramates versicolor) (fruiting body)		C,T,P,G	1	1	51	1	1					United States	48	0.5	0.7	60		<=3	<=1	<=1	<=0.1		F	F	F	F		F			F	F	F	F	F	F		Y	Y																																														
Mushrooms	Immune Health	Velvet Shank Mushroom (Organic)	Flammulina velutipes	Organic Velvet Shank Mushroom		C,T,P,G	1	1	51	1	1					United States	60	0.6	0.7	60		<=3	<=1	<=1	<=0.1			F	F	F		F			F	F		F	F	F		Y	Y																																														
Vitamins	General Health	Vitamin E (Mixed Tocopherols) 90% Oil	Mixed Tocopherol	Vitamin E (as mixed Tocopherols)		C,T,P,G	1	0.9	94	0.9	0.9					China	24					<=3	<=1	<=3	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	Y	Y	Y																																													
Excipients	Plant Based	Pectin	Pectin	Pectin		G	100	0.6	14.5	1	1					China	24			30		<=3		<=5		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y	Y			131		15	75	15																																					
Minerals	Bone Health	Calcium (Dicalcium Phosphate Anhydrous) Granular	Dicalcium Phosphate Anhydrous	Calcium (as Dicalcium Phosphate Anhydrous)		C,T,P,G	1	0.2	5	0.98	0.95					India	36	0.8				<=3		<=2		F		F		F		F		F	F	F		F	F	F	F	Y	Y																																														
Minerals	Bone Health	Calcium (Dicalcium Phosphate Anhydrous) Powder	Dicalcium Phosphate Anhydrous	Calcium (as Dicalcium Phosphate Anhydrous)		C,T,P,G	1	0.2	5	0.98	0.95					India	36					<=3		<=2		F		F		F		F		F	F	F		F	F	F	F	Y	Y																																														
Herbs	Immune Health	Eucalyptus Extract 4:1	Eucalyptus Globulus	Eucalyptus Leaf Extract		C,T,P	100	1	112.96	0.98						Spain	36	0.4	0.5	40	6	<=3		<=1		F	F	F	F	F	F	F	F	F	F	F		F	F	F		Y	Y					346	0.7	84				0.8																																			
Minerals	General Health	Iron (Ferrous Fumarate)	Ferrous Fumarate	Iron (as Ferrous Fumarate)		C,T,P,G	1	0.326	7.5	0.98	0.95					China	24				1.5	<=3		<=10			F	F	F	F	F	F	F	F	F	F		F	F	F	F	Y	Y	Y																																													
